hx,hz,chi,D,ξv,ξh,ξ_vumps
0.26,0.44,16,4,0.5096415057262249,0.5096415057262227,0.5096415064181006
0.26,0.44,24,4,0.5248279821541099,0.5246293785152419,0.5248208365846477
0.275,0.2,16,4,0.4140843986839493,0.40921848348718765,0.4092184835654314
0.275,0.2,24,4,0.6436300909905681,0.6436300910071445,0.6436300968203413
0.275,0.2,36,4,0.6366339292651356,0.636633929284974,0.6366339315837575
0.27,0.0,16,4,0.42303584504671915,0.4230358450467356,0.42303584492864577
0.27,0.1,16,4,0.40624126106229197,0.4062412610624341,0.40624126102967995
0.27,0.1,16,6,0.6537829667755748,0.6537829667755589,0.6537829667870425
0.27,0.27,24,4,0.9353738775735247,0.9353738775736791,0.9353738764862597
0.27,0.43,16,4,6.433713753386418e14,2.2517998136852475e15,2.3703155933528878e14
0.27,0.43,24,4,2.26983948040162,2.2698394802210786,2.269839482033057
0.285,0.2,16,4,0.6259641907645422,0.625964190764542,0.6259641907615093
0.285,0.2,24,4,0.6386131539908646,0.6386131540075047,0.6386131466878038
0.28,0.0,16,4,0.5203579919837701,0.5203579919838288,0.5203579919653224
0.28,0.0,24,4,0.6405891403242518,0.6405891403250403,0.6405403900571269
0.28,0.0,36,4,0.5132232784508098,0.5132232784837492,0.5132232505719391
0.28,0.1,16,4,0.4059996015282602,0.40599960152816816,0.4058204608380913
0.28,0.1,16,6,0.6863533908660152,0.6863533908660132,0.6863533908657354
0.28,0.28,16,4,0.9940424561440356,0.9940424561440107,0.9940424561422179
0.28,0.28,24,4,1.286742750677284e15,2.2517998136852475e15,0.8198553021860114
0.28,0.42,16,4,1844.060764809969,1461.1190357068242,1.316167064834688
0.28,0.42,24,4,1344.4556524485681,57073.60502376397,1.3413123294835085
0.295,0.2,16,4,0.6297264321599285,0.6297264321599215,0.6297264321420639
0.295,0.2,24,4,1.7321537028348012e14,-Inf,1.9444776900005174
0.29,0.0,16,4,0.5739931946206315,0.5739931946207119,0.5739931946095156
0.29,0.0,24,4,0.5873430717793712,0.5873430717765876,0.5873412325251337
0.29,0.0,36,4,0.5960709193714517,0.5960709193764988,0.5960709193741315
0.29,0.1,16,4,0.40549761716588295,0.40549761716590516,0.40549761698590825
0.29,0.1,16,6,0.695941313346426,0.695941313346428,0.6959413133463601
0.29,0.29,16,4,1.0688338233546615,1.0688338233546668,1.0688338233538104
0.29,0.29,24,4,1.0693661794496176,1.0693661794498586,1.0693661795185572
0.29,0.41,16,4,4.28914250225761e14,7.505999378950821e14,3.359995222870823
0.29,0.41,24,4,4.714371541256374,4.714371539933674,4.714371563772324
0.2,0.1,36,4,1.1258999068426235e15,3.752999689475408e14,0.38118462119194874
0.2,0.255,16,4,0.8561366615643947,0.8561366615644297,0.8561366616212113
0.2,0.255,24,4,0.8555295465122503,0.8555295465201715,0.8555295363528604
0.2,0.265,16,4,0.9157766543022967,0.9157766543023133,0.9157766543602202
0.2,0.265,24,4,0.5051214778158915,0.49974124211242105,0.505121478790326
0.2,0.275,16,4,4.107201262219653,4.107201231695564,4.027258919990897
0.2,0.275,24,4,4.28914250225761e14,1.6994715574982953e14,0.977365330052549
0.2,0.285,16,4,1.0534045122858842,1.0534045122859081,1.0534045122408797
0.2,0.285,24,4,1.0526544845504742,1.0526544845510752,1.0526544796046782
0.2,0.295,16,4,1.1388317132915673,1.138831713291556,1.1388317130965915
0.2,0.295,24,4,0.5020122393314119,0.5020122393313124,0.5020122136170206
0.2,0.2,36,4,0.6511494652354749,0.6511494620954603,0.6511490744221969
0.2,0.305,16,4,1.249216523240539,1.249216523240466,1.249216413442596
0.2,0.305,24,4,1.2671683734991412,1.2671683735058223,1.2671683567711294
0.2,0.315,16,4,1.3831806025221107,1.3831806025220337,1.383180602525269
0.2,0.315,24,4,1.3999028559033675,1.3999028559070528,1.3999028560816436
0.2,0.325,16,4,1.5817484837059297,1.581748483705617,1.5817484837079019
0.2,0.325,24,4,1.597842933969851,1.5978429339685265,1.5978429340753642
0.2,0.32,36,4,1.4954869361374428,1.4954869361620577,1.4954740811117484
0.2,0.335,16,4,1.229189472934745,1.2291894729341346,1.229189472913984
0.2,0.335,48,4,1.2492017711842391,1.2492017712916939,1.2492017470132493
0.2,0.33,36,4,1.750972447831672,1.7509724477845312,1.7509720934170385
0.2,0.345,16,4,2.443868208083338,2.443868208096932,2.40749285339252
0.2,0.345,24,4,1.0278015303140138,1.0278015303166692,1.0278015303287802
0.2,0.34,36,4,2.160735138645797,2.1607351386318543,2.160735145645443
0.2,0.355,16,4,0.908667258357304,0.9086672583574037,0.9086672583513622
0.2,0.355,24,4,0.8927743972604941,0.8927743972611745,0.8927743965188584
0.2,0.35,48,4,0.9633621473234734,0.9633621472740586,0.9633637658496697
