 Count  Overhead File                    Line Function
    21         0 …rithms/ctmrg/ctmrg.jl   169 calc_convergence(env::CTMRGEnv{Te…
    21         0 …rithms/ctmrg/ctmrg.jl   169 #372
    25         0 …Algebra/src/matmul.jl   381 generic_matmatmul!(C::Base.Reshap…
    25        25 @Base/partr.jl            23 cong
    27         0 …s/tensoroperations.jl   278 contract!(C::TensorMap{ComplexF64…
    28         3 @Base/boot.jl            946 _apply(::Function, ::Vararg{Any})
    28         0 …ors/factorizations.jl   273 #tsvd#287
    29         0 …src/tensors/linalg.jl    41 compose
    29         0 …src/tensors/linalg.jl   315 mul!
    29         0 …rithms/ctmrg/ctmrg.jl   181 rrule
    29         0 …ors/factorizations.jl   271 tsvd
    30         0 …s/tensoroperations.jl   329 _contract!(α::One, A::TensorMap{C…
    31         1 …rithms/ctmrg/ctmrg.jl    99 #349
    32         0 …src/tensors/tensor.jl   393 copy
    32        32 @Base/array.jl           350 copy
    33         0 …Algebra/src/matmul.jl   287 _mul!
    33         0 …Algebra/src/matmul.jl   657 gemm_wrapper!(C::Base.ReshapedArr…
    33        33 …arAlgebra/src/blas.jl  1644 gemm!(transA::Char, transB::Char,…
    36         0 …src/tensors/linalg.jl   330 mul!(tC::TensorMap{ComplexF64, Gr…
    36         0 …Algebra/src/matmul.jl   285 mul!
    39         0 …ions/src/interface.jl   139 tensorcontract!
    39         0 …ions/src/interface.jl   148 tensorcontract!
    39         0 …s/tensoroperations.jl   107 tensorcontract!
    39         0 …s/ctmrg/sequential.jl   138 renormalize_sequentially
    39         0 …ctmrg_contractions.jl  1235 renormalize_west_edge
    39         1 …ctmrg_contractions.jl  1253 renormalize_west_edge
    45         0 …src/tensors/linalg.jl    43 *
    47         1 …s/ctmrg/sequential.jl    50 ctmrg_leftmove
    50         0 …s/ctmrg/sequential.jl    59 ctmrg_iteration
    53         0 …rithms/ctmrg/ctmrg.jl    98 #349
    57        13 @Base/task.jl           1004 trypoptask(W::Base.IntrusiveLinke…
    63         0 …sChainRulesCoreExt.jl    20 rrule
    67         0 …s/ctmrg/sequential.jl    93 sequential_projectors
    67         0 …parse_environments.jl    64 TensorMap
    67         1 …ctmrg_contractions.jl    42 enlarge_northwest_corner
    72         0 …t/tensoroperations.jl    50 rrule(::typeof(TensorOperations.t…
    79         0 …entation/allocator.jl   100 tensoralloc_contract
    79         0 …entation/allocator.jl   102 tensoralloc_contract
    79         0 …s/tensoroperations.jl    15 tensoralloc
    80         0 …entation/allocator.jl   153 tensoralloc
    82         0 @Base/boot.jl            578 Array
    84         0 …henker/new_toolbox.jl   426 new_leading_boundary
    84         0 …rithms/ctmrg/ctmrg.jl    94 leading_boundary
    84         0 …tras/src/verbosity.jl    98 withlevel
