hx,hz,chi,D,E,infinite_tHooft,infinite_Wilson,infinite_Wilson_odd,FMstring,PKstring_odd
0.26,0.1,16,4,-2.041060451193268,0.21551987369495004 + 4.1791210756998164e-15im,-0.9889127731093152 + 4.3832481866947343e-16im,NaN + NaN*im,0.5786385524093914,0.01492079753536417
0.26,0.1,16,6,-2.0413684235628025,0.2816844211869369 - 6.064778868951089e-16im,-0.98823373213206 + 4.64999780870191e-16im,NaN + NaN*im,0.6284222894807178,0.02075534746142141
0.26,0.26,16,4,-2.072013938714987,0.21026814904822544 - 1.6091837600183348e-14im,0.9891730250067501 + 8.290466437167431e-16im,NaN + NaN*im,0.5858495891366204,0.003991827011659324
0.26,0.26,24,4,-2.0720110343199774,0.21026721189437178 + 3.0232003897982e-13im,0.9891733108109758 + 1.6355815415331876e-15im,NaN + NaN*im,0.5856611938410042,0.0014095523480145565
0.26,0.44,16,4,-2.2038358727684555,0.14681434359414097 - 2.1404448459278543e-15im,0.9920747062632038 + 1.267486618997083e-16im,NaN + NaN*im,0.829075237645681,0.018471691605744987
0.26,0.44,24,4,-2.1246804797772825,0.20650342113505413 + 4.7053232092153725e-14im,-0.9884526039741884 - 8.902622512524733e-16im,NaN + NaN*im,0.6047886532460612,0.010923737774845087
0.275,0.2,16,4,-2.0604966731344363,0.23487834136001673 - 3.1906373202890617e-15im,-0.9871687705729982 - 9.972208302071433e-16im,NaN + NaN*im,0.5815882405964006,0.009411936688219252
0.275,0.2,24,4,-2.0612823208060473,0.23874099558233375 + 2.7775252517354552e-11im,0.9872576588515116 - 6.022256830216166e-16im,NaN + NaN*im,0.5048587279210761,0.016308075310992747
0.275,0.2,36,4,-2.0612830397941315,0.23874047723030006 - 3.907069934369114e-12im,0.9872568178536888 + 7.219627286727695e-17im,NaN + NaN*im,0.5047597088373736,0.011097998276908255
0.27,0.0,16,4,-2.0395349418068283,0.33253071482742125 + 0.0im,-0.9867190637529311 + 7.906326745313725e-16im,NaN + NaN*im,0.49815564876722807,0.03569280489526528
0.27,0.1,16,4,-2.044117116506921,0.2294432641908331 - 1.9843730178254136e-15im,-0.9877339475436132 + 7.41704626539941e-16im,NaN + NaN*im,0.5787006147945002,0.004670941895657571
0.27,0.1,16,6,-2.044487660039893,0.2934328197932118 + 2.534485255030118e-16im,-0.9869761332664249 - 3.2413081622259014e-16im,NaN + NaN*im,0.6315170975607167,0.021373506409754797
0.27,0.27,24,4,-2.0781038895114468,0.22735639840795369 + 5.582626745049684e-12im,0.9880758686120102 + 8.308656036437259e-16im,NaN + NaN*im,0.5120195136590516,0.006616537099125824
0.27,0.43,16,4,-2.193658298467388,0.1562055481545647 + 4.545303276347262e-16im,0.9911856577110285 + 1.5769566831923395e-15im,NaN + NaN*im,0.8338613002289081,0.01527333479420703
0.27,0.43,24,4,-0.3785463930155275,-0.6541431220600004 - 1.0938131425897113e-16im,-0.37979526369390215 + 9.088183542505436e-16im,NaN + NaN*im,0.40844021860987806,0.020682892640689673
0.285,0.2,16,4,-2.064546825290207,0.2487127242281417 - 3.645032415343694e-16im,0.9859287235969544 + 6.4700709412217695e-16im,NaN + NaN*im,0.5813247734343171,0.004333468192647556
0.285,0.2,24,4,-2.0645518385216244,0.2540471950166193 - 4.462457535415095e-13im,0.9859230126624507 + 1.9107682858760094e-17im,NaN + NaN*im,0.5046695097309597,0.01263475064283281
0.28,0.0,16,4,-2.04287961311204,0.407285208628679 - 2.5309515204597337e-16im,-0.9849112356504995 - 4.106617658232418e-16im,NaN + NaN*im,0.4205192639880998,0.02887698627623848
0.28,0.0,24,4,-2.042900526896059,0.48171146963091066 + 1.594125240601159e-14im,0.9848022628755156 - 5.848577363806782e-16im,NaN + NaN*im,0.33818869982608174,0.005582463809256422
0.28,0.0,36,4,-2.042882784479546,0.3908660048274298 + 1.430377390846309e-11im,0.9850055594269075 - 9.718536797880408e-17im,NaN + NaN*im,0.39087391477472505,0.010520069193926156
