file,hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
final_Psi_trivial_1e4_hx=0.1_hz=0.1_χ=36_D=4,0.1,0.1,36,4,-2.0100718436350777,2.2517998136852428e14,3.464307405669607e14,0.05954918512778346 + 2.0320810094079067e-10im,-0.9987040832683199 + 1.0287194603557486e-15im
final_Psi_trivial_1e4_hx=0.1_hz=0.2_χ=36_D=4,0.1,0.2,36,4,-2.0258409848388244,3.00239975158033e15,3.0023997515803256e14,0.059040532604084865 + 3.829018086463145e-11im,-0.998716067282478 + 7.924402118326843e-17im
final_Psi_trivial_1e4_hx=0.1_hz=0.2_χ=48_D=4,0.1,0.2,48,4,-2.0201677007424044,7.111420344389633,7.111420452516012,0.9960936967133454 + 1.1641728216507824e-15im,0.9442546630848577 - 1.7918787248348323e-15im
final_Psi_trivial_1e4_hx=0.1_hz=0.32_χ=36_D=4,0.1,0.32,36,4,-2.0631424292464926,1.5386375901967537,1.5386375900601723,0.05705031586787637 - 4.574406641523628e-12im,0.9987521528341159 + 1.0665048133236662e-15im
final_Psi_trivial_1e4_hx=0.1_hz=0.33_χ=36_D=4,0.1,0.33,36,4,-2.067615914441723,1.8067633867496162,1.806763386706925,0.05596938195712234 + 2.5771646992378566e-12im,0.9987586720641557 - 7.605557217769357e-16im
final_Psi_trivial_1e4_hx=0.1_hz=0.34_χ=36_D=4,0.1,0.34,36,4,-2.07386662438678,1.100367716168866,1.1003677162246623,0.05418691576034685 + 2.8276834410888e-11im,0.998803084538236 - 0.0im
final_Psi_trivial_1e4_hx=0.1_hz=0.3_χ=36_D=4,0.1,0.3,36,4,-2.05013938665945,0.5683420103516048,0.5654625803094727,0.06280501353687373 - 1.5331978362698706e-14im,-0.9984138689985149 + 1.739810932096576e-17im
final_Psi_trivial_1e4_hx=0.1_hz=1.0_χ=36_D=4,0.1,1.0,36,4,-3.1290667316154503,7.505999378950821e14,1.000799917193443e15,0.0346616534424917 - 4.994772353315147e-15im,0.9994035934591858 + 1.7084460418647653e-16im
final_Psi_trivial_1e4_hx=0.25_hz=0.1_χ=48_D=4,0.25,0.1,48,4,-2.0381777054782306,1.501199875790165e15,6.004799503160656e14,0.20635888654845 - 4.174265381764845e-12im,-0.9899872883593611 - 1.547773479974996e-15im
final_Psi_trivial_1e4_hx=0.25_hz=0.2_χ=48_D=4,0.25,0.2,48,4,-2.053793223256454,3.0023997515803256e14,5.629499534213115e14,0.20400634736728038 - 1.9728574475609349e-13im,0.9900941108313696 + 1.14417625778243e-15im
final_Psi_trivial_1e4_hx=0.25_hz=0.31_χ=48_D=4,0.25,0.31,48,4,-2.0864571639538103,1.3230872114098444,1.323087210904908,0.19691819188004744 - 2.937170347046057e-11im,0.9904094712819402 + 4.808668729362452e-16im
final_Psi_trivial_1e4_hx=0.25_hz=0.325_χ=48_D=4,0.25,0.325,48,4,-2.092713051519914,1.582959114018905,1.582959114489918,0.19486026103057077 - 2.3296398971944278e-11im,-0.9904917424874318 - 1.219048390105554e-15im
final_Psi_trivial_1e4_hx=0.25_hz=0.32_χ=48_D=4,0.25,0.32,48,4,-2.090560201727982,1.4800815917533643,1.4800815919374914,0.1956667476094099 - 6.937834506609391e-12im,0.9904597556081101 - 3.372571466037758e-16im
final_Psi_trivial_1e4_hx=0.25_hz=0.335_χ=48_D=4,0.25,0.335,48,4,-2.0972507412767216,19279.320804438365,18139.794431447903,0.18985829254487255 - 6.6371411628035424e-15im,-0.9905744782488386 + 8.811099494855771e-16im
final_Psi_trivial_1e4_hx=0.25_hz=0.33_χ=48_D=4,0.25,0.33,48,4,-2.0949991295461263,1.4765313435477438,1.4765313436077963,0.1915255578830109 - 1.936947238401085e-12im,0.9906213762491635 + 4.2876988694553e-16im
final_Psi_trivial_1e4_hx=0.25_hz=0.34_χ=48_D=4,0.25,0.34,48,4,-2.1006257423963017,1.1718575241794393,1.1718575228565375,0.1824736258210717 + 1.0779157311946198e-11im,0.9909477749546077 + 4.75742978171772e-16im
final_Psi_trivial_1e4_hx=0.25_hz=0.35_χ=48_D=4,0.25,0.35,48,4,-2.107445591034997,4.28914250225761e14,2.2517998136852475e15,0.1751221581249912 + 5.783545379559078e-12im,0.9912146504584367 - 1.0602563846401302e-15im
final_Psi_trivial_1e4_hx=0.25_hz=0.37_χ=48_D=4,0.25,0.37,48,4,-2.1194812699399557,1.0787064975737215e13,3.416995164924004e12,-0.16191727870957878 - 3.1139129027474085e-15im,0.9914729735874401 - 1.4169653315513416e-16im
final_Psi_trivial_1e4_hx=0.25_hz=0.3_χ=48_D=4,0.25,0.3,48,4,-2.0825860944484784,1.1949604547028312,1.1949604562555611,0.19802196480342782 - 2.3861907016459973e-12im,-0.990359086464544 - 8.294893543078326e-17im
final_Psi_trivial_1e4_hx=0.2_hz=0.1_χ=36_D=4,0.2,0.1,36,4,-2.0257692183594265,3.602879701896392e14,3.752999689475408e14,0.14728462719303234 - 2.1572175184719387e-11im,0.9941870382412461 - 6.059392613892567e-16im
